ordinals,dates
724854,8/1/1985
724885,9/1/1985
724915,10/1/1985
724946,11/1/1985
724976,12/1/1985
725007,1/1/1986
725038,2/1/1986
725066,3/1/1986
725097,4/1/1986
725127,5/1/1986
725158,6/1/1986
725188,7/1/1986
725219,8/1/1986
725250,9/1/1986
725280,10/1/1986
725311,11/1/1986
725341,12/1/1986
725372,1/1/1987
725403,2/1/1987
725431,3/1/1987
725462,4/1/1987
725492,5/1/1987
725523,6/1/1987
725553,7/1/1987
725584,8/1/1987
725615,9/1/1987
725645,10/1/1987
725676,11/1/1987
725706,12/1/1987
725737,1/1/1988
725768,2/1/1988
725797,3/1/1988
725828,4/1/1988
725858,5/1/1988
725889,6/1/1988
725919,7/1/1988
725950,8/1/1988
725981,9/1/1988
726011,10/1/1988
726042,11/1/1988
726072,12/1/1988
726103,1/1/1989
726134,2/1/1989
726162,3/1/1989
726193,4/1/1989
726223,5/1/1989
726254,6/1/1989
726284,7/1/1989
726315,8/1/1989
726346,9/1/1989
726376,10/1/1989
726407,11/1/1989
726437,12/1/1989
726468,1/1/1990
726499,2/1/1990
726527,3/1/1990
726558,4/1/1990
726588,5/1/1990
726619,6/1/1990
726649,7/1/1990
726680,8/1/1990
726711,9/1/1990
726741,10/1/1990
726772,11/1/1990
726802,12/1/1990
726833,1/1/1991
726864,2/1/1991
726892,3/1/1991
726923,4/1/1991
726953,5/1/1991
726984,6/1/1991
727014,7/1/1991
727045,8/1/1991
727076,9/1/1991
727106,10/1/1991
727137,11/1/1991
727167,12/1/1991
727198,1/1/1992
727229,2/1/1992
727258,3/1/1992
727289,4/1/1992
727319,5/1/1992
727350,6/1/1992
727380,7/1/1992
727411,8/1/1992
727442,9/1/1992
727472,10/1/1992
727503,11/1/1992
727533,12/1/1992
727564,1/1/1993
727595,2/1/1993
727623,3/1/1993
727654,4/1/1993
727684,5/1/1993
727715,6/1/1993
727745,7/1/1993
727776,8/1/1993
727807,9/1/1993
727837,10/1/1993
727868,11/1/1993
727898,12/1/1993
727929,1/1/1994
727960,2/1/1994
727988,3/1/1994
728019,4/1/1994
728049,5/1/1994
728080,6/1/1994
728110,7/1/1994
728141,8/1/1994
728172,9/1/1994
728202,10/1/1994
728233,11/1/1994
728263,12/1/1994
728294,1/1/1995
728325,2/1/1995
728353,3/1/1995
728384,4/1/1995
728414,5/1/1995
728445,6/1/1995
728475,7/1/1995
728506,8/1/1995
728537,9/1/1995
728567,10/1/1995
728598,11/1/1995
728628,12/1/1995
728659,1/1/1996
728690,2/1/1996
728719,3/1/1996
728750,4/1/1996
728780,5/1/1996
728811,6/1/1996
728841,7/1/1996
728872,8/1/1996
728903,9/1/1996
728933,10/1/1996
728964,11/1/1996
728994,12/1/1996
729025,1/1/1997
729056,2/1/1997
729084,3/1/1997
729115,4/1/1997
729145,5/1/1997
729176,6/1/1997
729206,7/1/1997
729237,8/1/1997
729268,9/1/1997
729298,10/1/1997
729329,11/1/1997
729359,12/1/1997
729390,1/1/1998
729421,2/1/1998
729449,3/1/1998
729480,4/1/1998
729510,5/1/1998
729541,6/1/1998
729571,7/1/1998
729602,8/1/1998
729633,9/1/1998
729663,10/1/1998
729694,11/1/1998
729724,12/1/1998
729755,1/1/1999
729786,2/1/1999
729814,3/1/1999
729845,4/1/1999
729875,5/1/1999
729906,6/1/1999
729936,7/1/1999
729967,8/1/1999
729998,9/1/1999
730028,10/1/1999
730059,11/1/1999
730089,12/1/1999
730120,1/1/2000
730151,2/1/2000
730180,3/1/2000
730211,4/1/2000
730241,5/1/2000
730272,6/1/2000
730302,7/1/2000
730333,8/1/2000
730364,9/1/2000
730394,10/1/2000
730425,11/1/2000
730455,12/1/2000
730486,1/1/2001
730517,2/1/2001
730545,3/1/2001
730576,4/1/2001
730606,5/1/2001
730637,6/1/2001
730667,7/1/2001
730698,8/1/2001
730729,9/1/2001
730759,10/1/2001
730790,11/1/2001
730820,12/1/2001
730851,1/1/2002
730882,2/1/2002
730910,3/1/2002
730941,4/1/2002
730971,5/1/2002
731002,6/1/2002
731032,7/1/2002
731063,8/1/2002
731094,9/1/2002
731124,10/1/2002
731155,11/1/2002
731185,12/1/2002
731216,1/1/2003
731247,2/1/2003
731275,3/1/2003
731306,4/1/2003
731336,5/1/2003
731367,6/1/2003
731397,7/1/2003
731428,8/1/2003
731459,9/1/2003
731489,10/1/2003
731520,11/1/2003
731550,12/1/2003
731581,1/1/2004
731612,2/1/2004
731641,3/1/2004
731672,4/1/2004
731702,5/1/2004
731733,6/1/2004
731763,7/1/2004
731794,8/1/2004
731825,9/1/2004
731855,10/1/2004
731886,11/1/2004
731916,12/1/2004
731947,1/1/2005
731978,2/1/2005
732006,3/1/2005
732037,4/1/2005
732067,5/1/2005
732098,6/1/2005
732128,7/1/2005
732159,8/1/2005
732190,9/1/2005
732220,10/1/2005
732251,11/1/2005
732281,12/1/2005
732312,1/1/2006
732343,2/1/2006
732371,3/1/2006
732402,4/1/2006
732432,5/1/2006
732463,6/1/2006
732493,7/1/2006
732524,8/1/2006
732555,9/1/2006
732585,10/1/2006
732616,11/1/2006
732646,12/1/2006
732677,1/1/2007
732708,2/1/2007
732736,3/1/2007
732767,4/1/2007
732797,5/1/2007
732828,6/1/2007
732858,7/1/2007
732889,8/1/2007
732920,9/1/2007
732950,10/1/2007
732981,11/1/2007
733011,12/1/2007
733042,1/1/2008
733073,2/1/2008
733102,3/1/2008
733133,4/1/2008
733163,5/1/2008
733194,6/1/2008
733224,7/1/2008
733255,8/1/2008
733286,9/1/2008
733316,10/1/2008
733347,11/1/2008
733377,12/1/2008
733408,1/1/2009
733439,2/1/2009
733467,3/1/2009
733498,4/1/2009
733528,5/1/2009
733559,6/1/2009
733589,7/1/2009
733620,8/1/2009
733651,9/1/2009
733681,10/1/2009
733712,11/1/2009
733742,12/1/2009
733773,1/1/2010
733804,2/1/2010
733832,3/1/2010
733863,4/1/2010
733893,5/1/2010
733924,6/1/2010
733954,7/1/2010
733985,8/1/2010
734016,9/1/2010
734046,10/1/2010
734077,11/1/2010
734107,12/1/2010
734138,1/1/2011
734169,2/1/2011
734197,3/1/2011
734228,4/1/2011
734258,5/1/2011
734289,6/1/2011
734319,7/1/2011
734350,8/1/2011
734381,9/1/2011
734411,10/1/2011
734442,11/1/2011
734472,12/1/2011
734503,1/1/2012
734534,2/1/2012
734563,3/1/2012
734594,4/1/2012
734624,5/1/2012
734655,6/1/2012
734685,7/1/2012
734716,8/1/2012
734747,9/1/2012
734777,10/1/2012
734808,11/1/2012
