,unemployment_rate
1,0.23008849557522126
2,0.2212389380530974
3,0.19469026548672566
4,0.15929203539823011
5,0.15044247787610618
6,0.14159292035398233
7,0.15044247787610618
8,0.15929203539823011
9,0.1858407079646018
10,0.2035398230088496
11,0.21238938053097348
12,0.168141592920354
13,0.15929203539823011
14,0.12389380530973451
15,0.17699115044247793
16,0.15929203539823011
17,0.15044247787610618
18,0.17699115044247793
19,0.1858407079646018
20,0.19469026548672566
21,0.1858407079646018
22,0.23893805309734514
23,0.23893805309734514
24,0.2831858407079646
25,0.2831858407079646
26,0.3097345132743364
27,0.3097345132743364
28,0.31858407079646023
29,0.3274336283185841
30,0.3097345132743364
31,0.31858407079646023
32,0.2831858407079646
33,0.29203539823008856
34,0.27433628318584075
35,0.23893805309734514
36,0.23008849557522126
37,0.21238938053097348
38,0.1858407079646018
39,0.19469026548672566
40,0.19469026548672566
41,0.1858407079646018
42,0.1858407079646018
43,0.17699115044247793
44,0.2035398230088496
45,0.19469026548672566
46,0.17699115044247793
47,0.2035398230088496
48,0.1858407079646018
49,0.2035398230088496
50,0.2212389380530974
51,0.2035398230088496
52,0.2035398230088496
53,0.2212389380530974
54,0.19469026548672566
55,0.19469026548672566
56,0.17699115044247793
57,0.1858407079646018
58,0.1858407079646018
59,0.2035398230088496
60,0.1858407079646018
61,0.19469026548672566
62,0.17699115044247793
63,0.17699115044247793
64,0.168141592920354
65,0.15044247787610618
66,0.15929203539823011
67,0.13274336283185845
68,0.14159292035398233
69,0.15044247787610618
70,0.15044247787610618
71,0.12389380530973451
72,0.14159292035398233
73,0.13274336283185845
74,0.15044247787610618
75,0.11504424778761066
76,0.12389380530973451
77,0.10619469026548671
78,0.10619469026548671
79,0.08849557522123899
80,0.08849557522123899
81,0.07964601769911504
82,0.07079646017699118
83,0.06194690265486724
84,0.053097345132743376
85,0.053097345132743376
86,0.03539823008849557
87,0.03539823008849557
88,0.03539823008849557
89,0.044247787610619475
90,0.03539823008849557
91,0.03539823008849557
92,0.03539823008849557
93,0.02654867256637171
94,0.02654867256637171
95,0.017699115044247805
96,0.03539823008849557
97,0.044247787610619475
98,0.03539823008849557
99,0.03539823008849557
100,0.03539823008849557
101,0.03539823008849557
102,0.044247787610619475
103,0.03539823008849557
104,0.03539823008849557
105,0.03539823008849557
106,0.053097345132743376
107,0.044247787610619475
108,0.03539823008849557
109,0.02654867256637171
110,0.03539823008849557
111,0.02654867256637171
112,0.008849557522123902
113,0.008849557522123902
114,0.02654867256637171
115,0.02654867256637171
116,0.008849557522123902
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
